Posted On,BHK,Rent,Size,Floor,Area Type,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Currency
6/9/2022,2,1140000,660,1 out of 2,Super Area,Malang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
7/2/2022,2,1501000,650,1 out of 2,Carpet Area,Jakarta,Unfurnished,Family,1,Contact Owner,IDR
6/14/2022,2,1710000,400,2 out of 3,Carpet Area,Surabaya,Unfurnished,Bachelors,2,Contact Owner,IDR
6/15/2022,1,760000,300,Ground out of 4,Carpet Area,Bandung,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
6/15/2022,3,1235000,1600,Ground out of 2,Super Area,Medan,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
5/28/2022,1,1520000,400,1 out of 2,Super Area,Semarang,Semi-Furnished,Bachelors,1,Contact Agent,IDR
5/22/2022,2,1330000,1000,1 out of 1,Super Area,Makassar,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
6/18/2022,1,1007000,355,1 out of 1,Carpet Area,Yogyakarta,Semi-Furnished,Bachelors/Family,1,Contact Agent,IDR
6/25/2022,2,1140000,1000,Ground out of 3,Super Area,Denpasar,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
6/22/2022,2,1615000,800,4 out of 5,Super Area,Palembang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
6/25/2022,2,2375000,850,Ground out of 2,Super Area,Malang,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
5/21/2022,1,1425000,350,Ground out of 2,Carpet Area,Jakarta,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
6/26/2022,2,2850000,900,Ground out of 2,Carpet Area,Surabaya,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
6/16/2022,2,1140000,550,1 out of 1,Super Area,Bandung,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
6/29/2022,2,950000,500,Ground out of 2,Carpet Area,Medan,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
5/10/2022,3,4180000,1100,2 out of 3,Carpet Area,Semarang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
5/12/2022,2,2850000,850,1 out of 2,Carpet Area,Makassar,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
6/3/2022,2,2375000,800,2 out of 2,Carpet Area,Yogyakarta,Unfurnished,Bachelors,1,Contact Agent,IDR
5/31/2022,2,1330000,630,Ground out of 3,Carpet Area,Denpasar,Unfurnished,Bachelors,1,Contact Owner,IDR
6/10/2022,2,3990000,900,1 out of 2,Carpet Area,Palembang,Semi-Furnished,Bachelors,2,Contact Owner,IDR
6/24/2022,1,1900000,270,1 out of 2,Carpet Area,Malang,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
6/29/2022,2,1368000,630,Ground out of 1,Carpet Area,Jakarta,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
5/12/2022,3,2280000,1500,Ground out of 2,Carpet Area,Surabaya,Furnished,Bachelors,2,Contact Owner,IDR
6/26/2022,1,950000,600,2 out of 5,Super Area,Bandung,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
4/30/2022,2,1615000,700,4 out of 14,Carpet Area,Medan,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
5/27/2022,1,1140000,300,Ground out of 3,Super Area,Semarang,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
6/6/2022,2,1900000,1300,Ground out of 1,Super Area,Makassar,Semi-Furnished,Family,2,Contact Owner,IDR
5/20/2022,2,874000,400,3 out of 3,Carpet Area,Yogyakarta,Semi-Furnished,Bachelors,1,Contact Owner,IDR
7/2/2022,2,2280000,650,Ground out of 1,Super Area,Denpasar,Unfurnished,Family,2,Contact Owner,IDR
5/26/2022,3,5700000,2000,Ground out of 2,Super Area,Palembang,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
5/12/2022,3,2850000,1068,Ground out of 3,Super Area,Malang,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
6/22/2022,1,1425000,150,1 out of 1,Super Area,Jakarta,Furnished,Bachelors/Family,1,Contact Owner,IDR
6/25/2022,1,1425000,450,2 out of 2,Carpet Area,Surabaya,Unfurnished,Bachelors,1,Contact Owner,IDR
7/3/2022,2,950000,800,Ground out of 1,Carpet Area,Bandung,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
4/23/2022,2,2850000,1000,Ground out of 2,Super Area,Medan,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
5/14/2022,2,2090000,900,5 out of 5,Super Area,Semarang,Semi-Furnished,Bachelors,1,Contact Owner,IDR
5/27/2022,1,1330000,600,Ground out of 2,Carpet Area,Makassar,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
6/19/2022,2,1140000,1200,1 out of 1,Super Area,Yogyakarta,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
6/19/2022,2,1140000,1200,2 out of 2,Super Area,Denpasar,Semi-Furnished,Bachelors,2,Contact Owner,IDR
7/2/2022,2,1330000,650,Ground out of 3,Super Area,Palembang,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
7/6/2022,2,1615000,720,4 out of 4,Carpet Area,Malang,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
7/2/2022,1,950000,300,1 out of 3,Carpet Area,Jakarta,Unfurnished,Bachelors,1,Contact Owner,IDR
6/21/2022,3,5700000,1200,Ground out of 2,Carpet Area,Surabaya,Unfurnished,Bachelors/Family,3,Contact Agent,IDR
6/4/2022,2,1900000,700,7 out of 8,Carpet Area,Bandung,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
6/24/2022,3,5700000,2000,1 out of 3,Super Area,Medan,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
5/14/2022,1,665000,250,Ground out of 4,Super Area,Semarang,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
6/26/2022,2,1520000,1100,Ground out of 3,Carpet Area,Makassar,Unfurnished,Bachelors,1,Contact Owner,IDR
7/2/2022,1,950000,300,Ground out of 2,Carpet Area,Yogyakarta,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
5/5/2022,2,1425000,600,Ground out of 2,Super Area,Denpasar,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
5/18/2022,2,1235000,800,Ground out of 2,Carpet Area,Palembang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
6/7/2022,1,1425000,680,1 out of 3,Super Area,Malang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
6/7/2022,1,1425000,680,Ground out of 2,Super Area,Jakarta,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
6/26/2022,2,3040000,850,1 out of 4,Carpet Area,Surabaya,Semi-Furnished,Bachelors,1,Contact Agent,IDR
6/26/2022,2,3040000,850,1 out of 2,Carpet Area,Bandung,Semi-Furnished,Bachelors,1,Contact Agent,IDR
5/30/2022,2,1235000,700,Ground out of 2,Super Area,Medan,Unfurnished,Bachelors,1,Contact Owner,IDR
5/22/2022,3,7600000,1500,Ground out of 2,Super Area,Semarang,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
6/18/2022,2,2375000,950,1 out of 4,Super Area,Makassar,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
6/8/2022,2,1045000,500,Ground out of 2,Super Area,Yogyakarta,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
6/25/2022,1,950000,450,2 out of 4,Carpet Area,Denpasar,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
5/3/2022,2,1235000,700,Ground out of 2,Super Area,Palembang,Unfurnished,Bachelors,1,Contact Owner,IDR
5/12/2022,1,1520000,500,1 out of 2,Super Area,Malang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
6/1/2022,3,2755000,1800,Ground out of 2,Super Area,Jakarta,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
5/23/2022,1,1558000,500,1 out of 3,Carpet Area,Surabaya,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
5/23/2022,2,2850000,480,Ground out of 3,Carpet Area,Bandung,Furnished,Bachelors/Family,2,Contact Owner,IDR
6/21/2022,6,3800000,1000,1 out of 1,Super Area,Medan,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
6/22/2022,2,1273000,800,1 out of 2,Super Area,Semarang,Furnished,Bachelors/Family,1,Contact Owner,IDR
5/27/2022,1,1900000,435,2 out of 3,Super Area,Makassar,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
5/7/2022,2,1330000,700,Ground out of 2,Carpet Area,Yogyakarta,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
6/25/2022,2,4180000,800,4 out of 4,Super Area,Denpasar,Furnished,Bachelors/Family,1,Contact Agent,IDR
6/27/2022,2,1235000,450,1 out of 3,Super Area,Palembang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
5/31/2022,2,1615000,550,2 out of 3,Carpet Area,Malang,Semi-Furnished,Bachelors/Family,1,Contact Agent,IDR
6/3/2022,2,3420000,800,Ground out of 4,Carpet Area,Jakarta,Unfurnished,Bachelors,2,Contact Agent,IDR
6/27/2022,2,2280000,550,Ground out of 2,Carpet Area,Surabaya,Semi-Furnished,Family,2,Contact Owner,IDR
5/15/2022,1,1710000,600,2 out of 4,Super Area,Bandung,Furnished,Bachelors/Family,1,Contact Owner,IDR
6/9/2022,1,1140000,500,Ground out of 1,Super Area,Medan,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
4/28/2022,2,3800000,1000,1 out of 2,Super Area,Semarang,Furnished,Bachelors/Family,2,Contact Owner,IDR
5/23/2022,1,950000,300,1 out of 2,Carpet Area,Makassar,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
6/28/2022,2,2280000,1200,1 out of 3,Super Area,Yogyakarta,Furnished,Bachelors/Family,2,Contact Owner,IDR
6/23/2022,2,1900000,500,3 out of 4,Carpet Area,Denpasar,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
4/29/2022,4,3420000,1200,1 out of 2,Super Area,Palembang,Unfurnished,Family,2,Contact Owner,IDR
6/13/2022,2,2850000,900,1 out of 2,Carpet Area,Malang,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
6/13/2022,3,4180000,1300,Ground out of 2,Carpet Area,Jakarta,Unfurnished,Bachelors/Family,3,Contact Agent,IDR
6/13/2022,4,6650000,1600,1 out of 5,Carpet Area,Surabaya,Unfurnished,Bachelors/Family,3,Contact Agent,IDR
5/14/2022,3,3990000,1450,Ground out of 1,Super Area,Bandung,Unfurnished,Family,2,Contact Owner,IDR
7/6/2022,2,4750000,1100,2 out of 2,Super Area,Medan,Furnished,Bachelors,2,Contact Agent,IDR
6/16/2022,2,34200000,950,Ground out of 1,Carpet Area,Semarang,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
6/6/2022,1,1140000,600,8 out of 5,Carpet Area,Makassar,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
7/4/2022,2,2660000,700,Ground out of 2,Carpet Area,Yogyakarta,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
5/15/2022,3,1520000,750,Ground out of 2,Super Area,Denpasar,Unfurnished,Family,1,Contact Owner,IDR
5/4/2022,2,1520000,1000,Ground out of 1,Super Area,Palembang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
4/25/2022,1,1140000,220,Ground out of 2,Super Area,Malang,Furnished,Bachelors/Family,1,Contact Owner,IDR
5/21/2022,1,1520000,300,1 out of 3,Carpet Area,Jakarta,Semi-Furnished,Bachelors,1,Contact Agent,IDR
6/27/2022,1,1140000,300,Ground out of 1,Carpet Area,Surabaya,Unfurnished,Bachelors/Family,1,Contact Agent,IDR
7/2/2022,1,3800000,700,1 out of 2,Super Area,Bandung,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
7/6/2022,3,2280000,800,Ground out of 1,Super Area,Medan,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
4/28/2022,3,2850000,1600,1 out of 3,Super Area,Semarang,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
5/15/2022,2,2660000,1000,1 out of 3,Carpet Area,Makassar,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
5/30/2022,1,950000,20,2 out of 3,Super Area,Yogyakarta,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
6/10/2022,2,1330000,400,Ground out of 2,Carpet Area,Denpasar,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
6/23/2022,1,741000,200,2 out of 2,Super Area,Palembang,Furnished,Bachelors/Family,1,Contact Owner,IDR
6/9/2022,3,2660000,840,1 out of 4,Carpet Area,Malang,Unfurnished,Bachelors,2,Contact Owner,IDR
6/19/2022,1,1197000,300,1 out of 1,Carpet Area,Jakarta,Unfurnished,Bachelors/Family,1,Contact Agent,IDR
7/3/2022,2,2470000,550,1 out of 2,Carpet Area,Surabaya,Furnished,Bachelors/Family,2,Contact Agent,IDR
7/3/2022,1,1292000,300,1 out of 2,Carpet Area,Bandung,Unfurnished,Bachelors/Family,1,Contact Agent,IDR
5/14/2022,2,1520000,800,1 out of 1,Super Area,Medan,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
5/10/2022,2,1900000,740,Ground out of 6,Carpet Area,Semarang,Unfurnished,Bachelors,1,Contact Owner,IDR
4/25/2022,2,3420000,1300,1 out of 1,Super Area,Makassar,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
6/13/2022,2,1520000,650,Ground out of 1,Super Area,Yogyakarta,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
5/6/2022,2,1520000,490,1 out of 1,Super Area,Denpasar,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
6/8/2022,1,893000,250,2 out of 2,Super Area,Palembang,Furnished,Bachelors/Family,1,Contact Owner,IDR
6/8/2022,1,893000,250,Ground out of 1,Super Area,Malang,Furnished,Bachelors/Family,1,Contact Owner,IDR
5/6/2022,1,855000,450,1 out of 2,Super Area,Jakarta,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
6/30/2022,1,1140000,300,Ground out of 1,Carpet Area,Surabaya,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
6/24/2022,2,3040000,750,1 out of 3,Super Area,Bandung,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
7/1/2022,1,893000,250,1 out of 2,Super Area,Medan,Furnished,Bachelors/Family,1,Contact Owner,IDR
6/17/2022,2,2660000,751,3 out of 3,Carpet Area,Semarang,Unfurnished,Bachelors,1,Contact Owner,IDR
6/26/2022,2,1710000,900,Ground out of 2,Carpet Area,Makassar,Semi-Furnished,Bachelors,1,Contact Owner,IDR
6/23/2022,2,950000,400,1 out of 3,Carpet Area,Yogyakarta,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
6/13/2022,2,3325000,1000,Ground out of 2,Carpet Area,Denpasar,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
6/11/2022,2,1615000,1000,Ground out of 1,Carpet Area,Palembang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
5/26/2022,3,2850000,1500,1 out of 1,Carpet Area,Malang,Semi-Furnished,Family,2,Contact Owner,IDR
4/25/2022,2,2375000,750,1 out of 3,Carpet Area,Jakarta,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
5/11/2022,1,2470000,1200,2 out of 4,Super Area,Surabaya,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
5/6/2022,2,1520000,700,Ground out of 1,Super Area,Bandung,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
5/10/2022,2,1520000,700,4 out of 4,Carpet Area,Medan,Furnished,Bachelors/Family,1,Contact Owner,IDR
5/21/2022,2,1520000,1000,Ground out of 2,Super Area,Semarang,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
6/12/2022,2,1330000,1200,1 out of 3,Super Area,Makassar,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
6/5/2022,2,418000,550,2 out of 3,Super Area,Yogyakarta,Furnished,Bachelors/Family,1,Contact Owner,IDR
6/25/2022,2,1520000,800,Ground out of 4,Carpet Area,Denpasar,Unfurnished,Bachelors,1,Contact Owner,IDR
6/11/2022,2,1045000,280,1 out of 3,Super Area,Palembang,Unfurnished,Bachelors,1,Contact Owner,IDR
7/4/2022,3,3800000,1100,Ground out of 2,Super Area,Malang,Unfurnished,Bachelors/Family,3,Contact Owner,IDR
5/10/2022,2,1330000,950,Ground out of 2,Super Area,Jakarta,Unfurnished,Bachelors/Family,1,Contact Agent,IDR
5/13/2022,1,665000,250,1 out of 2,Super Area,Surabaya,Furnished,Bachelors/Family,1,Contact Owner,IDR
5/10/2022,2,950000,1000,Ground out of 2,Carpet Area,Bandung,Unfurnished,Bachelors,1,Contact Owner,IDR
6/30/2022,3,3800000,1000,Ground out of 2,Carpet Area,Medan,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
5/27/2022,2,1330000,650,Ground out of 2,Super Area,Semarang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
6/8/2022,2,1900000,700,1 out of 2,Super Area,Makassar,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
5/15/2022,2,1330000,700,Ground out of 3,Carpet Area,Yogyakarta,Unfurnished,Bachelors,1,Contact Owner,IDR
6/29/2022,3,2280000,1000,Ground out of 3,Super Area,Denpasar,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
5/13/2022,2,2755000,900,1 out of 4,Carpet Area,Palembang,Unfurnished,Bachelors,2,Contact Owner,IDR
5/25/2022,1,1140000,700,1 out of 2,Super Area,Malang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
7/4/2022,2,1805000,700,1 out of 2,Super Area,Jakarta,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
6/27/2022,2,1900000,450,2 out of 1,Carpet Area,Surabaya,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
5/6/2022,1,665000,120,Ground out of 3,Super Area,Bandung,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
6/1/2022,2,1710000,800,1 out of 2,Super Area,Medan,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
6/7/2022,3,7600000,1220,2 out of 3,Carpet Area,Semarang,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
6/23/2022,3,3135000,1100,Ground out of 3,Super Area,Makassar,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
6/12/2022,3,1520000,700,Ground out of 3,Carpet Area,Yogyakarta,Unfurnished,Family,2,Contact Owner,IDR
5/10/2022,2,2280000,800,Ground out of 3,Super Area,Denpasar,Furnished,Bachelors/Family,1,Contact Owner,IDR
6/27/2022,2,1235000,670,2 out of 2,Super Area,Palembang,Unfurnished,Family,1,Contact Owner,IDR
4/30/2022,4,7600000,1300,1 out of 2,Super Area,Malang,Unfurnished,Bachelors/Family,3,Contact Owner,IDR
5/6/2022,1,950000,190,Ground out of 2,Super Area,Jakarta,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
5/24/2022,2,1710000,700,Ground out of 2,Super Area,Surabaya,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
6/17/2022,1,1330000,240,Ground out of 4,Carpet Area,Bandung,Unfurnished,Bachelors,1,Contact Owner,IDR
5/19/2022,2,3420000,850,2 out of 4,Carpet Area,Medan,Semi-Furnished,Family,1,Contact Owner,IDR
5/26/2022,1,1710000,950,1 out of 2,Super Area,Semarang,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
6/11/2022,1,1045000,450,1 out of 2,Carpet Area,Makassar,Furnished,Bachelors/Family,1,Contact Owner,IDR
6/8/2022,2,1425000,800,Ground out of 2,Carpet Area,Yogyakarta,Unfurnished,Bachelors,1,Contact Owner,IDR
7/2/2022,2,760000,600,1 out of 2,Carpet Area,Denpasar,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
5/30/2022,3,1995000,800,2 out of 2,Carpet Area,Palembang,Unfurnished,Bachelors,2,Contact Owner,IDR
7/3/2022,3,2850000,1100,Ground out of 2,Carpet Area,Malang,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
6/16/2022,2,2850000,800,Ground out of 2,Carpet Area,Jakarta,Furnished,Bachelors/Family,1,Contact Owner,IDR
5/13/2022,1,9500000,2200,2 out of 5,Super Area,Surabaya,Furnished,Bachelors/Family,3,Contact Owner,IDR
6/8/2022,2,2280000,950,1 out of 1,Carpet Area,Bandung,Unfurnished,Bachelors,2,Contact Owner,IDR
4/25/2022,2,2090000,550,2 out of 3,Carpet Area,Medan,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
6/4/2022,2,2280000,1800,1 out of 1,Carpet Area,Semarang,Unfurnished,Bachelors,2,Contact Owner,IDR
5/11/2022,2,1520000,1000,Ground out of 2,Super Area,Makassar,Furnished,Bachelors/Family,1,Contact Owner,IDR
5/27/2022,2,3420000,600,Ground out of 3,Super Area,Yogyakarta,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
4/24/2022,2,1520000,750,2 out of 4,Carpet Area,Denpasar,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
5/10/2022,2,1330000,685,2 out of 3,Super Area,Palembang,Unfurnished,Bachelors/Family,1,Contact Agent,IDR
5/24/2022,1,1235000,44,Ground out of 1,Carpet Area,Malang,Furnished,Bachelors/Family,1,Contact Owner,IDR
6/10/2022,4,2470000,1200,Ground out of 2,Carpet Area,Jakarta,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
5/5/2022,2,1710000,500,Ground out of 2,Carpet Area,Surabaya,Unfurnished,Bachelors,1,Contact Owner,IDR
4/29/2022,4,1900000,1110,2 out of 2,Carpet Area,Bandung,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
5/5/2022,2,2280000,1000,1 out of 3,Super Area,Medan,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
6/26/2022,2,950000,392,Ground out of 2,Super Area,Semarang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
5/9/2022,2,1140000,700,1 out of 2,Super Area,Makassar,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
5/19/2022,1,988000,750,2 out of 4,Super Area,Yogyakarta,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
6/7/2022,3,2850000,1500,1 out of 2,Super Area,Denpasar,Unfurnished,Family,2,Contact Owner,IDR
4/29/2022,2,1710000,900,Ground out of 1,Super Area,Palembang,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
7/3/2022,1,4560000,710,1 out of 1,Super Area,Malang,Furnished,Bachelors,1,Contact Agent,IDR
5/26/2022,1,1045000,400,Ground out of 3,Carpet Area,Jakarta,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
6/24/2022,1,1900000,700,1 out of 2,Carpet Area,Surabaya,Unfurnished,Bachelors,1,Contact Owner,IDR
7/3/2022,2,2850000,1000,Ground out of 2,Carpet Area,Bandung,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
6/12/2022,1,893000,250,1 out of 2,Super Area,Medan,Furnished,Bachelors/Family,1,Contact Owner,IDR
5/14/2022,1,950000,500,Ground out of 3,Carpet Area,Semarang,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
5/20/2022,2,950000,450,2 out of 2,Carpet Area,Makassar,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
6/27/2022,3,2850000,1400,1 out of 3,Super Area,Yogyakarta,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
5/14/2022,1,950000,500,1 out of 1,Carpet Area,Denpasar,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
6/17/2022,2,1140000,700,Ground out of 1,Carpet Area,Palembang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
6/4/2022,3,3420000,1200,1 out of 3,Carpet Area,Malang,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
6/21/2022,2,1520000,450,1 out of 2,Carpet Area,Jakarta,Unfurnished,Bachelors,1,Contact Owner,IDR
6/23/2022,1,2470000,500,2 out of 2,Carpet Area,Surabaya,Furnished,Bachelors,1,Contact Agent,IDR
7/2/2022,2,1425000,400,Ground out of 1,Carpet Area,Bandung,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
4/24/2022,3,2280000,1000,Ground out of 1,Super Area,Medan,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
6/4/2022,2,2090000,750,Ground out of 1,Carpet Area,Semarang,Unfurnished,Bachelors,1,Contact Owner,IDR
6/24/2022,1,1140000,450,Ground out of 2,Super Area,Makassar,Unfurnished,Family,1,Contact Owner,IDR
6/19/2022,3,3800000,1000,1 out of 2,Carpet Area,Yogyakarta,Unfurnished,Bachelors,2,Contact Agent,IDR
7/3/2022,2,1330000,500,1 out of 1,Carpet Area,Denpasar,Unfurnished,Bachelors,2,Contact Owner,IDR
6/19/2022,4,5700000,1600,Ground out of 1,Carpet Area,Palembang,Unfurnished,Bachelors,2,Contact Agent,IDR
7/2/2022,2,1425000,550,Ground out of 1,Carpet Area,Malang,Unfurnished,Bachelors,1,Contact Owner,IDR
6/21/2022,1,1235000,550,1 out of 2,Super Area,Jakarta,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
6/4/2022,1,570000,200,2 out of 3,Super Area,Surabaya,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
